"","symbol","company","identifier","sedol","weight","sector","shares_held","local_currency","date","open","high","low","close","volume","adjusted"
"1","AAPL","Apple Inc.","03783310","2046251",0.0603159605743981,"Information Technology",162137540,"USD",2021-02-22,128.009995,129.720001,125.599998,126,103916400,126
"2","AAPL","Apple Inc.","03783310","2046251",0.0603159605743981,"Information Technology",162137540,"USD",2021-02-23,123.760002,126.709999,118.389999,125.860001,158273000,125.860001
"3","AAPL","Apple Inc.","03783310","2046251",0.0603159605743981,"Information Technology",162137540,"USD",2021-02-24,124.940002,125.559998,122.230003,125.349998,111039900,125.349998
"4","MSFT","Microsoft Corporation","59491810","2588173",0.0538538633693505,"Information Technology",76702710,"USD",2021-02-22,237.419998,237.929993,232.399994,234.509995,36446900,234.509995
"5","MSFT","Microsoft Corporation","59491810","2588173",0.0538538633693505,"Information Technology",76702710,"USD",2021-02-23,230.330002,234.830002,228.729996,233.270004,30228700,233.270004
"6","MSFT","Microsoft Corporation","59491810","2588173",0.0538538633693505,"Information Technology",76702710,"USD",2021-02-24,230.009995,235.199997,229,234.550003,26339700,234.550003
"7","AMZN","Amazon.com Inc.","02313510","2000019",0.039895301007304,"Consumer Discretionary",4326757,"USD",2021-02-22,3208.129883,3232.320068,3172.26001,3180.73999,3515700,3180.73999
"8","AMZN","Amazon.com Inc.","02313510","2000019",0.039895301007304,"Consumer Discretionary",4326757,"USD",2021-02-23,3127.030029,3204.72998,3093.600098,3194.5,4677200,3194.5
"9","AMZN","Amazon.com Inc.","02313510","2000019",0.039895301007304,"Consumer Discretionary",4326757,"USD",2021-02-24,3166.75,3171.22998,3125.379883,3159.530029,3011300,3159.530029
"10","FB","Facebook Inc. Class A","30303M10","B7TL820",0.0194580714730185,"Communication Services",24388738,"USD",2021-02-22,257.950012,263.070007,257.529999,260.329987,17434900,260.329987
"11","FB","Facebook Inc. Class A","30303M10","B7TL820",0.0194580714730185,"Communication Services",24388738,"USD",2021-02-23,259.5,267.459991,254.960007,265.859985,21924600,265.859985
"12","FB","Facebook Inc. Class A","30303M10","B7TL820",0.0194580714730185,"Communication Services",24388738,"USD",2021-02-24,262.329987,266.380005,258.390015,264.309998,15736100,264.309998
"13","GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.0192109219623745,"Communication Services",3050106,"USD",2021-02-22,2053.600098,2080.330078,2048,2054.26001,1473300,2054.26001
"14","GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.0192109219623745,"Communication Services",3050106,"USD",2021-02-23,2013.98999,2072.5,1990.22998,2060.120117,1732900,2060.120117
"15","GOOGL","Alphabet Inc. Class A","02079K30","BYVY8G0",0.0192109219623745,"Communication Services",3050106,"USD",2021-02-24,2030.040039,2088.320068,2027.530029,2083.810059,1130400,2083.810059
"16","GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.0186868430000509,"Communication Services",2944948,"USD",2021-02-22,2067,2091.419922,2062.139893,2064.879883,1367500,2064.879883
"17","GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.0186868430000509,"Communication Services",2944948,"USD",2021-02-23,2025.01001,2082.01001,2002.02002,2070.860107,1667400,2070.860107
"18","GOOG","Alphabet Inc. Class C","02079K10","BYY88Y7",0.0186868430000509,"Communication Services",2944948,"USD",2021-02-24,2041.829956,2100.780029,2038.130005,2095.169922,1248300,2095.169922
"19","TSLA","Tesla Inc","88160R10","B616C79",0.0148050106860788,"Consumer Discretionary",7693293,"USD",2021-02-22,762.640015,768.5,710.200012,714.5,37269700,714.5
"20","TSLA","Tesla Inc","88160R10","B616C79",0.0148050106860788,"Consumer Discretionary",7693293,"USD",2021-02-23,662.130005,713.609985,619,698.840027,66606900,698.840027
"21","TSLA","Tesla Inc","88160R10","B616C79",0.0148050106860788,"Consumer Discretionary",7693293,"USD",2021-02-24,711.849976,745,694.169983,742.02002,36767000,742.02002
"22","JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0144182314519017,"Financials",30924668,"USD",2021-02-22,146.869995,150.190002,146.789993,149.410004,11488400,149.410004
"23","JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0144182314519017,"Financials",30924668,"USD",2021-02-23,151.509995,152.309998,149.589996,150.610001,16234400,150.610001
"24","JPM","JPMorgan Chase & Co.","46625H10","2190385",0.0144182314519017,"Financials",30924668,"USD",2021-02-24,150.110001,153.759995,150.110001,153.259995,15061400,153.259995
"25","JNJ","Johnson & Johnson","47816010","2475833",0.012659694933804,"Health Care",26707660,"USD",2021-02-22,161.869995,162.539993,160.289993,161.869995,6447100,161.869995
"26","JNJ","Johnson & Johnson","47816010","2475833",0.012659694933804,"Health Care",26707660,"USD",2021-02-23,161.479996,163.190002,160.399994,160.440002,7042800,160.440002
"27","JNJ","Johnson & Johnson","47816010","2475833",0.012659694933804,"Health Care",26707660,"USD",2021-02-24,162.399994,164.389999,160.919998,162.589996,10286100,162.589996
"28","V","Visa Inc. Class A","92826C83","B2PZN04",0.0112670976911466,"Information Technology",17203008,"USD",2021-02-22,203.550003,210.649994,203.110001,208.320007,8337700,208.320007
"29","V","Visa Inc. Class A","92826C83","B2PZN04",0.0112670976911466,"Information Technology",17203008,"USD",2021-02-23,207.399994,213.910004,206.550003,212.110001,10571700,212.110001
"30","V","Visa Inc. Class A","92826C83","B2PZN04",0.0112670976911466,"Information Technology",17203008,"USD",2021-02-24,212.360001,220.529999,211.289993,219.429993,12039000,219.429993
"31","DIS","Walt Disney Company","25468710","2270726",0.0106949688239617,"Communication Services",18367724,"USD",2021-02-22,181.740005,194.020004,181.529999,191.759995,18799600,191.759995
"32","DIS","Walt Disney Company","25468710","2270726",0.0106949688239617,"Communication Services",18367724,"USD",2021-02-23,193.589996,198.940002,188.660004,197.089996,23191400,197.089996
"33","DIS","Walt Disney Company","25468710","2270726",0.0106949688239617,"Communication Services",18367724,"USD",2021-02-24,197.580002,200.600006,195.330002,197.509995,16205900,197.509995
"34","UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.00995040029820741,"Health Care",9625954,"USD",2021-02-22,321.5,329.049988,320.350006,327.640015,2688300,327.640015
"35","UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.00995040029820741,"Health Care",9625954,"USD",2021-02-23,329.98999,333.940002,326.640015,329.51001,3225700,329.51001
"36","UNH","UnitedHealth Group Incorporated","91324P10","2917766",0.00995040029820741,"Health Care",9625954,"USD",2021-02-24,328.48999,333.600006,326.040009,332.209991,3360500,332.209991
"37","MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00965953087412887,"Information Technology",8925066,"USD",2021-02-22,330,344.119995,328.769989,340.660004,4940300,340.660004
"38","MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00965953087412887,"Information Technology",8925066,"USD",2021-02-23,340.649994,354.279999,338.410004,350.420013,6326600,350.420013
"39","MA","Mastercard Incorporated Class A","57636Q10","B121557",0.00965953087412887,"Information Technology",8925066,"USD",2021-02-24,352.869995,368.790009,350.570007,367.320007,7467400,367.320007
"40","NVDA","NVIDIA Corporation","67066G10","2379504",0.00962251094742832,"Information Technology",6279897,"USD",2021-02-22,590.98999,605.330017,573,574.22998,8147100,574.22998
"41","NVDA","NVIDIA Corporation","67066G10","2379504",0.00962251094742832,"Information Technology",6279897,"USD",2021-02-23,563.01001,569.549988,535.580017,565.679993,9794500,565.679993
"42","NVDA","NVIDIA Corporation","67066G10","2379504",0.00962251094742832,"Information Technology",6279897,"USD",2021-02-24,564.909973,580.27002,550.23999,579.960022,11208000,579.960022
"43","PG","Procter & Gamble Company","74271810","2704407",0.00951557115916911,"Consumer Staples",25156142,"USD",2021-02-22,126.790001,127.239998,126.379997,126.580002,6975500,126.580002
"44","PG","Procter & Gamble Company","74271810","2704407",0.00951557115916911,"Consumer Staples",25156142,"USD",2021-02-23,127.779999,129.929993,127.190002,127.519997,10145300,127.519997
"45","PG","Procter & Gamble Company","74271810","2704407",0.00951557115916911,"Consumer Staples",25156142,"USD",2021-02-24,127.349998,128.240005,126.910004,127.660004,7263000,127.660004
"46","PYPL","PayPal Holdings Inc","70450Y10","BYW36M8",0.0088002625754801,"Information Technology",11887029,"USD",2021-02-22,281.420013,285,273.290009,273.850006,13132500,273.850006
"47","PYPL","PayPal Holdings Inc","70450Y10","BYW36M8",0.0088002625754801,"Information Technology",11887029,"USD",2021-02-23,259.690002,267.25,252.559998,265,20440300,265
"48","PYPL","PayPal Holdings Inc","70450Y10","BYW36M8",0.0088002625754801,"Information Technology",11887029,"USD",2021-02-24,266.105011,268.665985,259.100006,266.070007,10840000,266.070007
"49","BAC","Bank of America Corp","06050510","2295677",0.00872949271560442,"Financials",77232320,"USD",2021-02-22,34.450001,35.25,34.41,35.150002,56783400,34.976276
"50","BAC","Bank of America Corp","06050510","2295677",0.00872949271560442,"Financials",77232320,"USD",2021-02-23,35.419998,35.889999,35.139999,35.52,67440700,35.344448
"51","BAC","Bank of America Corp","06050510","2295677",0.00872949271560442,"Financials",77232320,"USD",2021-02-24,35.740002,36.52,35.599998,36.380001,58139500,36.200199
